case,body,trailer,make,model,modelyr
435,14,0,20,404,2011
435,4,0,37,32,1991
436,2,0,12,3,2001
437,15,0,13,421,2004
438,15,0,12,422,1997
438,80,0,50,706,2017
439,2,0,12,3,2000
439,34,0,20,481,2011
439,4,0,12,23,2016
440,34,0,7,482,2005
440,80,0,53,706,1999
441,4,0,19,18,2008
442,16,0,20,431,1994
442,14,0,2,403,2008
443,4,0,37,32,1998
443,4,0,35,43,2001
444,14,0,2,407,2014
445,34,0,20,481,1989
446,4,0,49,32,1999
447,4,0,20,16,2000
448,2,0,37,31,1997
449,34,0,49,471,1989
449,52,0,94,983,1997
450,5,0,12,37,2005
451,9,0,99,399,9999
452,71,0,98,808,2007
452,20,0,12,442,2002
452,52,0,98,988,2004
453,14,0,35,401,1997
454,67,0,12,880,2006
454,20,0,12,442,2000
455,4,0,49,43,1996
456,4,0,37,31,1993
456,14,0,48,403,2017
457,79,9,99,999,9999
457,4,0,12,37,2006
458,34,0,12,481,1995
459,4,0,20,25,2014
460,90,0,98,739,9999
461,15,0,13,421,1998
462,4,0,37,32,1995
462,34,0,12,481,2008
463,99,0,99,999,9999
464,14,0,20,404,2005
464,6,0,53,33,2003
465,4,0,63,38,2017
465,4,0,22,16,2001
466,6,0,49,47,2007
467,14,0,48,401,2007
467,5,0,37,39,2009
467,66,1,87,884,2003
468,99,0,99,999,9999
469,61,0,7,881,2001
469,14,0,49,499,1981
469,5,0,37,39,2008
470,6,0,63,36,2008
471,14,0,2,404,1999
472,34,0,12,471,2009
472,66,2,85,881,2013
473,4,0,55,35,2008
474,3,0,36,38,2013
475,2,0,34,39,1997
475,2,0,58,37,2005
476,66,1,82,881,2015
476,4,0,58,37,2007
476,9,0,49,40,1998
477,14,0,42,403,2014
477,66,1,82,881,2012
478,4,0,48,38,2002
479,14,0,59,401,2001
480,34,0,7,482,2005
481,34,0,7,482,2005
482,34,0,7,482,2014
483,80,0,98,705,1997
483,63,0,84,884,2004
483,34,0,20,481,2014
484,4,0,12,16,1996
484,16,0,20,431,1990
484,34,0,7,482,2016
485,14,0,20,401,2000
486,14,0,37,402,2013
486,14,0,49,401,2017
486,34,0,7,482,1998
487,2,0,34,34,1985
488,14,0,37,403,2003
489,90,0,99,739,2004
491,4,0,59,31,1999
491,4,0,55,33,2002
492,4,0,55,33,2002
492,4,0,6,43,2010
493,6,0,49,47,2005
494,66,1,84,881,2006
494,14,0,55,401,2017
495,14,0,2,404,2000
496,4,0,35,43,2007
497,3,0,55,42,2012
498,20,0,35,443,1997
499,99,0,99,999,9999
500,34,0,7,482,2008
500,4,0,49,43,2000
501,4,0,48,38,2004
502,34,0,12,481,2011
502,4,0,41,50,2006
503,8,0,48,38,2012
503,39,0,29,399,2008
504,2,0,39,35,2008
505,4,0,20,16,1999
506,82,0,72,706,2014
506,20,0,12,444,2016
506,15,0,20,421,1999
507,21,0,12,462,2017
508,66,1,82,881,2011
508,34,0,20,481,1995
509,34,0,12,471,2001
510,80,0,72,706,2006
510,34,1,7,482,2006
510,34,0,12,481,1997
511,4,0,12,37,2008
511,14,0,2,404,2015
512,14,0,63,401,2006
512,15,0,12,422,2003
513,14,0,2,405,2004
514,4,0,14,17,2002
515,6,0,48,34,1997
515,34,0,12,481,2002
515,4,0,12,37,2006
516,4,0,49,32,2001
516,66,1,82,881,2003
517,2,0,37,32,2000
517,67,0,12,880,2006
518,14,0,48,401,2014
519,4,0,49,32,1997
519,4,0,37,31,2004
519,15,0,54,421,2011
520,2,0,58,42,2017
521,3,0,37,31,1991
522,4,0,49,40,1996
523,4,0,35,47,2012
524,5,0,41,55,2011
524,4,0,49,40,2000
525,2,0,54,37,1999
526,66,1,82,881,2017
527,3,0,54,31,1988
527,14,0,48,401,2014
528,5,0,7,25,2007
528,66,1,85,881,2016
