case,age,sex,hispanic,race1,race2,race3,race4,race5,zip,licstate,drhgt_in,weight,noncdl,noncdltype,x,y
175,42,1,7.0,,,,,,98444.0,53,64.0,150.0,6.0,1.0,47.153041,-122.448831
176,51,1,0.0,,,,,,98003.0,53,65.0,180.0,6.0,1.0,47.304801,-122.316969
177,56,1,7.0,,,,,,98121.0,53,66.0,185.0,6.0,1.0,47.615192,-122.350581
178,51,2,0.0,,,,,,98848.0,96,,999.0,9.0,9.0,47.168643,-119.842939
178,42,1,0.0,,,,,,99344.0,53,68.0,200.0,6.0,1.0,46.820069,-119.178054
179,49,1,7.0,,,,,,98368.0,53,71.0,185.0,6.0,1.0,48.034402,-122.838953
180,37,1,7.0,,,,,,98248.0,53,71.0,151.0,6.0,8.0,48.864419,-122.619419
180,53,1,0.0,,,,,,0.0,95,,999.0,9.0,9.0,,
181,44,1,7.0,,,,,,98801.0,53,70.0,190.0,6.0,1.0,47.423594,-120.336633
182,30,1,0.0,,,,,,98236.0,53,74.0,232.0,1.0,1.0,47.948393,-122.412822
182,69,2,7.0,,,,,,98258.0,53,65.0,135.0,6.0,1.0,48.04417,-122.077404
183,19,2,7.0,,,,,,99206.0,53,70.0,155.0,6.0,1.0,47.629296,-117.254657
184,37,1,0.0,,,,,,98264.0,53,72.0,175.0,1.0,1.0,48.950253,-122.459792
185,51,1,7.0,,,,,,99217.0,53,70.0,250.0,6.0,1.0,47.740709,-117.261376
186,49,1,0.0,,,,,,98387.0,53,71.0,235.0,6.0,1.0,47.060925,-122.388908
187,999,9,0.0,,,,,,99999.0,99,,999.0,9.0,9.0,,
188,25,2,0.0,,,,,,98563.0,53,63.0,175.0,6.0,1.0,47.193599,-123.615371
189,34,2,1.0,,,,,,98684.0,53,65.0,165.0,6.0,1.0,45.630556,-122.514839
190,15,1,0.0,,,,,,98382.0,53,,999.0,0.0,0.0,48.023189,-123.106245
191,62,1,7.0,,,,,,99115.0,53,72.0,180.0,6.0,1.0,47.646834,-119.416689
