case,crash_dt,crash_tm,numfatal,crashtype
344,08/06/2017,18:29,1,51
345,08/22/2017,20:55,1,13
346,08/14/2017,18:30,1,1
347,08/16/2017,15:38,1,13
348,08/02/2017,8:54,1,13
349,08/07/2017,10:00,1,46
349,08/07/2017,10:00,1,45
349,08/07/2017,10:00,1,98
350,08/15/2017,3:23,1,98
351,08/16/2017,9:59,1,6
352,09/01/2017,23:33,1,1
353,09/02/2017,0:06,1,98
354,09/02/2017,20:27,1,13
355,09/06/2017,16:50,1,2
356,09/08/2017,16:15,1,2
357,09/09/2017,2:30,1,1
358,09/09/2017,23:00,1,13
359,09/07/2017,22:52,1,50
359,09/07/2017,22:52,1,51
360,09/10/2017,20:17,1,13
361,09/09/2017,18:31,1,50
361,09/09/2017,18:31,1,51
362,02/05/2017,2:31,1,13
363,04/16/2017,11:13,1,50
363,04/16/2017,11:13,1,51
364,05/13/2017,4:18,1,13
365,09/09/2017,1:58,1,50
365,09/09/2017,1:58,1,51
366,09/12/2017,4:21,1,13
367,09/05/2017,11:38,1,7
369,09/03/2017,2:00,1,2
370,09/18/2017,7:38,1,98
371,09/09/2017,20:28,1,2
372,09/13/2017,18:48,1,88
372,09/13/2017,18:48,1,89
373,09/16/2017,22:28,1,13
374,09/19/2017,2:42,1,98
375,09/09/2017,4:30,1,0
376,09/01/2017,6:45,1,20
376,09/01/2017,6:45,1,21
377,09/18/2017,12:39,1,64
377,09/18/2017,12:39,1,65
377,09/18/2017,12:39,1,98
378,09/18/2017,15:10,1,29
378,09/18/2017,15:10,1,28
378,09/18/2017,15:10,1,98
379,09/18/2017,21:24,1,20
379,09/18/2017,21:24,1,21
380,09/20/2017,21:26,1,2
381,09/22/2017,11:22,1,13
382,09/22/2017,10:40,1,1
383,09/26/2017,11:26,1,82
383,09/26/2017,11:26,1,83
384,09/26/2017,16:03,1,50
384,09/26/2017,16:03,1,51
385,09/23/2017,22:29,2,50
385,09/23/2017,22:29,2,51
386,09/25/2017,21:37,1,50
386,09/25/2017,21:37,1,51
387,09/19/2017,18:28,1,2
388,09/26/2017,5:30,1,98
389,09/10/2017,20:09,1,98
389,09/10/2017,20:09,1,98
390,06/30/2017,2:44,1,1
391,09/26/2017,20:14,1,24
391,09/26/2017,20:14,1,25
392,09/27/2017,15:40,1,6
393,09/20/2017,18:41,1,2
394,09/27/2017,0:15,1,13
395,09/27/2017,10:13,1,50
395,09/27/2017,10:13,1,51
396,09/30/2017,5:12,1,98
397,09/27/2017,23:47,1,1
398,09/28/2017,19:30,1,0
399,09/23/2017,14:31,1,13
400,09/24/2017,6:08,1,7
400,09/24/2017,6:08,1,98
401,09/03/2017,0:20,1,13
402,09/14/2017,18:05,1,13
403,09/21/2017,4:05,1,98
404,09/30/2017,15:01,1,50
404,09/30/2017,15:01,1,51
404,09/30/2017,15:01,1,98
405,09/13/2017,11:29,1,98
406,09/30/2017,21:35,1,50
406,09/30/2017,21:35,1,51
407,09/27/2017,13:24,1,6
408,09/25/2017,5:30,1,98
408,09/25/2017,5:30,1,98
409,09/23/2017,6:53,1,13
410,10/01/2017,1:15,1,2
411,10/03/2017,10:54,1,2
412,09/29/2017,22:48,1,7
412,09/29/2017,22:48,1,98
413,09/25/2017,13:33,1,89
413,09/25/2017,13:33,1,88
414,09/29/2017,12:46,1,13
415,10/06/2017,20:18,1,7
416,10/01/2017,5:22,1,86
416,10/01/2017,5:22,1,87
417,10/05/2017,17:20,1,13
418,10/07/2017,2:43,1,50
418,10/07/2017,2:43,1,51
419,10/08/2017,11:05,1,87
419,10/08/2017,11:05,1,86
420,10/08/2017,23:00,1,13
421,10/11/2017,8:42,1,1
422,10/18/2017,0:08,1,1
423,10/07/2017,11:44,1,7
424,10/20/2017,15:12,1,88
424,10/20/2017,15:12,1,89
425,10/07/2017,17:24,1,13
426,10/09/2017,20:43,1,50
426,10/09/2017,20:43,1,51
427,10/22/2017,20:46,1,1
428,10/13/2017,6:25,1,68
428,10/13/2017,6:25,1,69
430,10/13/2017,19:27,1,88
430,10/13/2017,19:27,1,89
431,10/09/2017,19:04,1,13
432,10/12/2017,20:39,1,13
433,10/23/2017,14:10,1,1
434,10/08/2017,7:28,2,98
435,10/23/2017,23:50,1,46
435,10/23/2017,23:50,1,47
436,10/25/2017,17:00,1,1
437,10/28/2017,21:33,1,13
438,10/26/2017,8:56,1,87
438,10/26/2017,8:56,1,86
439,10/26/2017,6:57,1,68
439,10/26/2017,6:57,1,69
439,10/26/2017,6:57,1,98
440,10/28/2017,22:17,1,68
440,10/28/2017,22:17,1,69
441,10/09/2017,19:25,1,13
442,10/28/2017,18:42,1,69
442,10/28/2017,18:42,1,68
443,10/29/2017,5:21,1,98
443,10/29/2017,5:21,1,98
444,09/19/2017,9:20,1,0
445,10/16/2017,8:49,1,1
446,09/15/2017,17:59,1,98
447,09/30/2017,15:51,1,6
448,07/10/2017,1:03,1,13
449,10/25/2017,6:14,1,50
449,10/25/2017,6:14,1,51
450,10/30/2017,19:32,1,6
451,10/28/2017,18:56,1,13
452,10/21/2017,14:51,1,78
452,10/21/2017,14:51,1,79
452,10/21/2017,14:51,1,98
453,10/29/2017,5:21,1,6
454,10/18/2017,15:48,1,80
454,10/18/2017,15:48,1,81
455,10/27/2017,9:26,2,98
456,10/13/2017,21:13,1,98
456,10/13/2017,21:13,1,98
457,10/17/2017,5:43,1,13
457,10/17/2017,5:43,1,98
458,10/21/2017,9:33,1,1
459,10/31/2017,8:00,1,6
460,10/14/2017,14:00,1,2
461,10/06/2017,13:23,1,13
462,10/23/2017,16:15,1,88
462,10/23/2017,16:15,1,89
463,11/02/2017,23:58,1,13
464,11/02/2017,13:27,2,50
464,11/02/2017,13:27,2,51
465,11/05/2017,16:53,1,50
